Create time for UNORDERED TABLE: 138.419seconds
Create time for ORDERED TABLE: 7.631seconds
Create time for BINARY TREE: 2.405seconds
Create time for AVL: 2.205seconds
Create time for HASH TABLE: 0.178seconds
Create time for UNORDERED MAP: 0.158seconds
the-bottom 79 79 79 79 79 79 
june-26 1 1 1 1 1 1 
of-anghiari 8 8 8 8 8 8 
seems-almost 1 1 1 1 1 1 
is-so 29 29 29 29 29 29 
fatiguing-and 1 1 1 1 1 1 
arbitrarily-divide 1 1 1 1 1 1 
in-arguing 1 1 1 1 1 1 
of-the 4416 4416 4416 4416 4416 4416 
more-than 66 66 66 66 66 66 
that-each 10 10 10 10 10 10 
arrangement-was 3 3 3 3 3 3 
year-and 3 3 3 3 3 3 
generally-self 1 1 1 1 1 1 
this-work 31 31 31 31 31 31 
numbers-in 1 1 1 1 1 1 
necessary-in 6 6 6 6 6 6 
the-vatican 19 19 19 19 19 19 
do-they 6 6 6 6 6 6 
but-of 10 10 10 10 10 10 
to-further 1 1 1 1 1 1 
windsor-the 2 2 2 2 2 2 
also-by 3 3 3 3 3 3 
napier-librarian 1 1 1 1 1 1 
express-my 2 2 2 2 2 2 
am-now 2 2 2 2 2 2 
more-in 11 11 11 11 11 11 
"he-was 1 1 1 1 1 1 
intention-to 5 5 5 5 5 5 
the-image 64 64 64 64 64 64 
65-66 2 2 2 2 2 2 
the-relative 27 27 27 27 27 27 
nature-of 70 70 70 70 70 70 
definition-of 15 15 15 15 15 15 
cast-shadows 14 14 14 14 14 14 
225-an 1 1 1 1 1 1 
the-nature 66 66 66 66 66 66 
of-the 4416 4416 4416 4416 4416 4416 
the-relative 27 27 27 27 27 27 
botany-for 5 5 5 5 5 5 
of-light 145 145 145 145 145 145 
in-water 15 15 15 15 15 15 
a-caution 2 2 2 2 2 2 
the-right 88 88 88 88 88 88 
light-on 25 25 25 25 25 25 
colours-618 2 2 2 2 2 2 
anghiari-669 1 1 1 1 1 1 
sea-by 8 8 8 8 8 8 
tube-in 1 1 1 1 1 1 
admonition-to 2 2 2 2 2 2 
times-for 1 1 1 1 1 1 
xvith-century 10 10 10 10 10 10 
tratto-di 1 1 1 1 1 1 
plan-you 1 1 1 1 1 1 
the-numerous 14 14 14 14 14 14 
plan:-first 1 1 1 1 1 1 
the-fair 3 3 3 3 3 3 
and-third 2 2 2 2 2 2 
is-certainly 12 12 12 12 12 12 
this-proemio 2 2 2 2 2 2 
one-of 95 95 95 95 95 95 
as-marius 1 1 1 1 1 1 
allude-to 4 4 4 4 4 4 
d-altra 1 1 1 1 1 1 
will-cite 1 1 1 1 1 1 
men-who 24 24 24 24 24 24 
are-opposed 3 3 3 3 3 3 
and-reasons 1 1 1 1 1 1 
not-be 62 62 62 62 62 62 
things-vouchsafe 1 1 1 1 1 1 
the-materials 13 13 13 13 13 13 
recede-from 2 2 2 2 2 2 
used-in 10 10 10 10 10 10 
sections-of 7 7 7 7 7 7 
3-branches 1 1 1 1 1 1 
written-in 40 40 40 40 40 40 
use-of 25 25 25 25 25 25 
of-clear 3 3 3 3 3 3 
without-knowledge 3 3 3 3 3 3 
that-is 273 273 273 273 273 273 
the-note 25 25 25 25 25 25 
point-and 13 13 13 13 13 13 
of-sight 41 41 41 41 41 41 
light-or 12 12 12 12 12 12 
an-illuminated 7 7 7 7 7 7 
an-object 55 55 55 55 55 55 
acquired-the 2 2 2 2 2 2 
the-object 134 134 134 134 134 134 
relief-as 3 3 3 3 3 3 
and-since 9 9 9 9 9 9 
the-largest 22 22 22 22 22 22 
at-first 20 20 20 20 20 20 
painting-if 2 2 2 2 2 2 
the-more 89 89 89 89 89 89 
first-a 2 2 2 2 2 2 
and-contracts 3 3 3 3 3 3 
were-to 29 29 29 29 29 29 
